agency,date,sample_size,margin_error,spa_seats_low,spa_seats_high,admk_seats_low,admk_seats_high,tvk_seats_low,tvk_seats_high,others_seats_low,others_seats_high,spa_vote_pct,admk_vote_pct,tvk_vote_pct,others_vote_pct,poll_type
IANS-Matrize,2026-03-15,17410,3,104,114,114,127,6,12,1,6,37.5,39.5,14.5,11.0,opinion
News18-VoteVibe,2026-03-23,7992,3,113,123,106,116,2,8,0,0,40.0,38.0,15.0,7.0,opinion
Agni News Agency,2026-03-23,101643,3,180,180,50,60,0,10,0,0,44.9,38.5,9.7,6.9,opinion
Lokpal,2026-04-01,117000,3,181,189,38,42,8,10,0,0,40.1,29.0,23.9,7.0,opinion
Jan Ki Baat,2026-04-08,85000,2.5,145,160,62,72,8,14,2,8,41.2,31.5,19.8,7.5,opinion
CVoter-ABP,2026-04-10,62000,2.5,138,152,68,78,10,16,0,4,40.8,32.0,20.5,6.7,opinion
Polstrat,2026-04-14,47500,3,155,168,55,65,8,12,2,5,42.5,30.8,18.5,8.2,opinion
CSDS-Lokniti,2026-04-16,32800,3,148,162,60,70,10,15,2,6,41.5,31.2,20.1,7.2,opinion
Matrize (Exit Poll),2026-04-29,68750,3,122,132,87,100,4,8,2,6,40.5,35.8,16.2,7.5,exit
P-MARQ (Exit Poll),2026-04-29,52000,3,125,145,65,85,16,26,4,8,36.0,31.0,23.0,10.0,exit
Chanakya Strategies (Exit Poll),2026-04-29,45000,3,145,160,50,65,13,18,3,8,44.0,38.0,14.0,5.0,exit
ABP-CVoter (Exit Poll),2026-04-29,38500,3,132,148,72,88,8,16,2,6,41.2,33.5,18.0,7.3,exit
Poll of Polls (Exit),2026-04-29,0,3,138,153,66,82,10,15,5,11,40.4,34.6,17.8,7.2,exit
